R,R_error,Vc,Vc_error,fitted_Vc
0.22,0.1,163.24,15.61,175.78
0.65,0.19,210.95,18.56,220.61
1.86,0.02,223.8,10.72,223.43
3.19,0.02,226.79,7.96,220.33
4.23,0.02,213.74,8.17,221.38
5.32,0.02,212.54,7.55,223.04
6.27,0.02,221.94,7.2,224.04
7.2,0.02,223.3,8.49,224.43
8.2,0.02,225.97,9.28,224.28
9.14,0.02,226.63,9.07,223.75
9.93,0.02,223.45,10.29,223.1
10.62,0.01,221.25,10.24,222.44
11.25,0.01,221.17,11.16,221.79
11.83,0.01,213.58,9.75,221.17
12.48,0.01,215.04,12.67,220.44
13.37,0.02,215.12,12.82,219.48
14.29,0.02,217.92,13.52,218.48
15.2,0.02,215.97,13.09,217.54
16.08,0.02,223.22,13.07,216.67
17.21,0.02,213.32,13.44,215.61
18.31,0.03,213.85,15.37,214.64
19.38,0.03,199.73,15.19,213.76
8.88,1.08,233.09,32.4,223.92
11.55,0.77,217.54,35.26,221.46
13.55,0.57,230.53,35.63,219.28
15.25,0.54,212.91,36.6,217.49
16.91,0.62,212.36,36.67,215.88
18.68,0.54,204.64,38.1,214.33
20.41,0.54,220.27,37.18,212.98
22.26,0.62,213.35,37.17,211.68
24.12,0.67,219.28,36.73,210.51
26.26,0.76,217.99,35.88,209.29
28.63,0.87,222.84,38.16,208.08
31.23,0.88,204.28,37.89,206.88
34.28,1.19,210.33,38.76,205.58
39.56,2.21,221.84,36.68,203.53
46.21,2.42,185.33,38.68,201.19
52.08,1.63,182.05,38.15,199.23
54.85,1.67,196.28,38.81,198.33
67.26,14.95,202.02,40.67,194.47
98.74,17.19,192.59,42.23,185.55
123.56,11.6,168.53,41.34,179.31
